multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgBTF3_1	sgALG11_1	NA	NA	NA	sgCAMTA1_3
sgBTF3_2	sgALG14_3	NA	NA	NA	sgCAPN2_4
sgBTF3_3	sgALG1_2	NA	NA	NA	sgCAPN6_2
sgBTF3_4	sgALG3_1	NA	NA	NA	sgCAPN7_2
sgC11orf73_4	sgALG8_4	NA	NA	NA	sgCAPS2_3
sgC1D_1	sgALKBH3_1	NA	NA	NA	sgCAPZA1_1
sgC1QTNF9B_1	sgALKBH8_3	NA	NA	NA	sgCARD16_3
sgC1QTNF9B_3	sgALOX15B_4	NA	NA	NA	sgCARD16_4
sgC1QTNF9B_4	sgALOX5AP_1	NA	NA	NA	sgCASP2_4
sgC1QTNF9_2	sgALPI_1	NA	NA	NA	sgCASP5_2
sgC1QTNF9_3	sgALPI_4	NA	NA	NA	sgCASP6_2
sgC1orf68_1	sgALPPL2_1	NA	NA	NA	sgCASP8_1
sgC4A_1	sgALPPL2_2	NA	NA	NA	sgCCDC106_4
sgC4A_2	sgALPPL2_4	NA	NA	NA	sgCCDC114_3
sgC4A_3	sgALPP_1	NA	NA	NA	sgCCDC129_2
sgC4B_1	sgALPP_2	NA	NA	NA	sgCCDC167_4
sgC4B_2	sgALPP_3	NA	NA	NA	sgCCDC28A_2
sgC4B_4	sgALPP_4	NA	NA	NA	sgCCDC28A_3
sgC4orf46_3	sgALYREF_4	NA	NA	NA	sgCCDC28A_4
sgC4orf46_4	sgAMACR_2	NA	NA	NA	sgCCDC28B_1
sgCACYBP_2	sgAMBN_3	NA	NA	NA	sgCCDC42B_4
sgCACYBP_3	sgAMBN_4	NA	NA	NA	sgCCDC53_3
sgCBWD1_1	sgAMD1_1	NA	NA	NA	sgCCDC83_1
sgCBWD1_3	sgAMD1_4	NA	NA	NA	sgCCDC88C_3
sgCBWD5_1	sgAMDHD1_4	NA	NA	NA	sgCCL14_1
sgCBWD5_2	sgAMELX_1	NA	NA	NA	sgCCL2_4
sgCBWD5_3	sgAMELY_2	NA	NA	NA	sgCCL5_4
sgCBWD5_4	sgAMELY_3	NA	NA	NA	sgCCNJ_1
sgCBWD6_2	sgAMH_3	NA	NA	NA	sgCCNO_4
sgCBWD6_3	sgAMMECR1L_2	NA	NA	NA	sgCCNY_3
sgCBX1_2	sgAMY2A_2	NA	NA	NA	sgCCT4_2
sgCCDC144A_1	sgAMY2B_1	NA	NA	NA	sgCD27_4
sgCCDC144A_4	sgAMY2B_3	NA	NA	NA	sgCD3E_2
sgCCDC58_3	sgAMZ2_2	NA	NA	NA	sgCD52_1
sgCCDC58_4	sgAMZ2_3	NA	NA	NA	sgCD52_4
sgCCDC74A_1	sgANAPC10_3	NA	NA	NA	sgCD82_2
sgCCDC74A_3	sgANAPC1_1	NA	NA	NA	sgCD9_4
sgCCDC74A_4	sgANAPC1_2	NA	NA	NA	sgCDA_1
sgCCDC74B_2	sgANAPC1_3	NA	NA	NA	sgCDC20_1
sgCCL3L3_1	sgANGPT2_2	NA	NA	NA	sgCDIPT_1
sgCCL3L3_3	sgANGPT2_4	NA	NA	NA	sgCDK18_2
sgCCL3L3_4	sgANG_3	NA	NA	NA	sgCDK9_2
sgCCL3_2	sgANHX_2	NA	NA	NA	sgCELA3B_2
sgCCL4L2_1	sgANK1_3	NA	NA	NA	sgCENPI_3
sgCCL4L2_2	sgANKFN1_1	NA	NA	NA	sgCENPU_2
sgCCL4L2_3	sgANKRD11_3	NA	NA	NA	sgCERKL_2
sgCCL4L2_4	sgANKRD18B_2	NA	NA	NA	sgCFAP69_1
sgCCL4_2	sgANKRD18B_3	NA	NA	NA	sgCFC1B_1
sgCCZ1B_1	sgANKRD30A_3	NA	NA	NA	sgCHAT_1
sgCCZ1B_2	sgANKRD30B_1	NA	NA	NA	sgCHCHD3_4
sgCCZ1B_3	sgANKRD33B_4	NA	NA	NA	sgCHMP4A_3
sgCCZ1_1	sgANKRD36B_1	NA	NA	NA	sgCHMP5_1
sgCCZ1_2	sgANKRD36B_2	NA	NA	NA	sgCHURC1_1
sgCCZ1_4	sgANKRD36B_4	NA	NA	NA	sgCHURC1_2
sgCD276_3	sgANKRD36_1	NA	NA	NA	sgCIB1_4
sgCD300C_1	sgANKRD36_2	NA	NA	NA	sgCIB2_3
sgCD8B_1	sgANKRD36_4	NA	NA	NA	sgCLCNKA_3
sgCD99_1	sgANKRD49_2	NA	NA	NA	sgCLEC10A_4
sgCD99_2	sgANKRD49_3	NA	NA	NA	sgCLGN_2
sgCD99_3	sgANKRD55_4	NA	NA	NA	sgCLN5_2
sgCD99_4	sgANKRD60_1	NA	NA	NA	sgCLPB_2
sgCDC14B_4	sgANKRD62_3	NA	NA	NA	sgCLPTM1_1
sgCDC26_1	sgANKS1B_1	NA	NA	NA	sgCMPK2_1
sgCDC26_3	sgANKS1B_3	NA	NA	NA	sgCNIH2_1
sgCDC42_1	sgANKS4B_4	NA	NA	NA	sgCNPY3_2
sgCDC42_2	sgANO2_1	NA	NA	NA	sgCOL16A1_2
sgCDC42_4	sgANO2_3	NA	NA	NA	sgCOL23A1_2
sgCDK11B_2	sgANOS1_3	NA	NA	NA	sgCOL24A1_3
sgCDK11B_3	sgANP32A_1	NA	NA	NA	sgCOL2A1_3
sgCDK2AP2_4	sgANP32B_3	NA	NA	NA	sgCOL4A1_1
sgCDRT15L2_1	sgANP32B_4	NA	NA	NA	sgCOL4A4_1
sgCDRT15L2_2	sgANP32D_3	NA	NA	NA	sgCOL9A1_4
sgCDRT15L2_3	sgANP32D_4	NA	NA	NA	sgCOL9A2_1
sgCDRT15_1	sgANTXRL_1	NA	NA	NA	sgCOMP_3
sgCDRT15_2	sgANXA10_1	NA	NA	NA	sgCOPS7A_1
sgCDRT1_4	sgANXA2_3	NA	NA	NA	sgCOX16_3
sgCDY1B_1	sgANXA8L1_3	NA	NA	NA	sgCOX4I1_3
sgCDY1B_2	sgANXA8_4	NA	NA	NA	sgCOX6A1_2
sgCDY1B_3	sgAOC1_4	NA	NA	NA	sgCOX7A2L_2
sgCDY1B_4	sgAOC3_1	NA	NA	NA	sgCOX7A2_2
sgCDY1_1	sgAOC3_4	NA	NA	NA	sgCOX7A2_4
sgCDY1_2	sgAP1S2_4	NA	NA	NA	sgCPNE6_2
sgCDY1_3	sgAP2B1_2	NA	NA	NA	sgCPT1C_4
sgCDY1_4	sgAP2B1_4	NA	NA	NA	sgCR1L_2
sgCDY2A_1	sgAP3M2_2	NA	NA	NA	sgCRYGC_1
sgCDY2A_2	sgAP4S1_2	NA	NA	NA	sgCSF2_4
sgCDY2A_3	sgAP4S1_4	NA	NA	NA	sgCSF3_1
sgCDY2A_4	sgAP5Z1_2	NA	NA	NA	sgCSK_3
sgCDY2B_1	sgAPBB2_2	NA	NA	NA	sgCSNK1A1_3
sgCDY2B_2	sgAPH1A_4	NA	NA	NA	sgCSNK1D_2
sgCDY2B_3	sgAPI5_1	NA	NA	NA	sgCTGF_2
sgCDY2B_4	sgAPI5_2	NA	NA	NA	sgCXCL14_3
sgCEACAM5_2	sgAPI5_4	NA	NA	NA	sgCXCL16_3
sgCEACAM6_2	sgAPIP_4	NA	NA	NA	sgCYB5RL_1
sgCELA2B_2	sgAPLF_1	NA	NA	NA	sgCYTH1_2
sgCELA3A_4	sgAPLP1_2	NA	NA	NA	sgCYYR1_1
sgCENPN_4	sgAPOBEC3B_1	NA	NA	NA	sgDACT3_1
sgCEP170_1	sgAPOBEC3C_2	NA	NA	NA	sgDAOA_1
sgCEP170_3	sgAPOBEC3C_3	NA	NA	NA	sgDAOA_2
sgCES1_1	sgAPOBEC3D_4	NA	NA	NA	sgDAOA_3
sgCES1_2	sgAPOBEC3F_1	NA	NA	NA	sgDBN1_2
sgCES1_3	sgAPOBEC3H_2	NA	NA	NA	sgDBP_4
sgCES1_4	sgAPOC1_3	NA	NA	NA	sgDCP1A_1
sgCFC1B_2	sgAPOL1_2	NA	NA	NA	sgDDC_2
sgCFC1B_3	sgAPOL1_3	NA	NA	NA	sgDEF8_1
sgCFC1B_4	sgAPOL4_2	NA	NA	NA	sgDEFA5_1
sgCFC1_1	sgAPOOL_1	NA	NA	NA	sgDEFB112_2
sgCFC1_2	sgAPOOL_2	NA	NA	NA	sgDEFB112_3
sgCFC1_3	sgAPOO_1	NA	NA	NA	sgDEFB121_4
sgCFC1_4	sgAPOO_2	NA	NA	NA	sgDEFB1_3
sgCGB1_1	sgAQP12A_2	NA	NA	NA	sgDEK_2
sgCGB1_2	sgAQP12A_3	NA	NA	NA	sgDGKK_1
sgCGB1_3	sgAQP12B_1	NA	NA	NA	sgDKKL1_1
sgCGB1_4	sgAQP6_3	NA	NA	NA	sgDLG1_1
sgCGB2_1	sgAQP7_1	NA	NA	NA	sgDLG1_3
sgCGB2_2	sgARCN1_1	NA	NA	NA	sgDNAAF2_4
sgCGB2_3	sgARF1_1	NA	NA	NA	sgDNAAF3_4
sgCGB2_4	sgARF1_4	NA	NA	NA	sgDNAJB12_3
sgCGB5_1	sgARF3_2	NA	NA	NA	sgDNAJB14_4
sgCGB5_2	sgARF5_2	NA	NA	NA	sgDNASE1L1_1
sgCGB5_3	sgARF6_1	NA	NA	NA	sgDOCK3_2
sgCGB5_4	sgARF6_3	NA	NA	NA	sgDOHH_1
sgCGB7_1	sgARGFX_3	NA	NA	NA	sgDOK1_4
sgCGB7_2	sgARHGAP11A_1	NA	NA	NA	sgDOK3_2
sgCGB7_4	sgARHGAP11B_1	NA	NA	NA	sgDOK4_2
sgCGB8_1	sgARHGAP21_3	NA	NA	NA	sgDPPA4_4
sgCGB8_2	sgARHGAP23_4	NA	NA	NA	sgDPY19L2_2
sgCGB8_3	sgARHGAP26_1	NA	NA	NA	sgDST_3
sgCGB8_4	sgARHGAP42_1	NA	NA	NA	sgDUOX1_2
sgCGB_1	sgARHGAP42_3	NA	NA	NA	sgDYNC1I2_4
sgCGB_2	sgARHGAP5_1	NA	NA	NA	sgDYRK4_4
sgCGB_3	sgARHGAP5_4	NA	NA	NA	sgDZIP1L_3
sgCGB_4	sgARHGEF2_3	NA	NA	NA	sgECSIT_2
sgCGRRF1_3	sgARHGEF38_2	NA	NA	NA	sgEFCAB11_1
sgCH17-360D5.1_1	sgARHGEF4_4	NA	NA	NA	sgEFCAB3_4
sgCH17-360D5.1_2	sgARHGEF5_3	NA	NA	NA	sgEFHB_4
sgCH17-360D5.1_3	sgARHGEF5_4	NA	NA	NA	sgEHBP1_3
sgCHCHD2_1	sgARID3B_2	NA	NA	NA	sgEHD2_1
sgCHCHD2_2	sgARID4B_1	NA	NA	NA	sgEHF_4
sgCHCHD4_2	sgARIH2_2	NA	NA	NA	sgEIF1AY_2
sgCHRFAM7A_1	sgARIH2_3	NA	NA	NA	sgEIF2B3_4
sgCHRFAM7A_2	sgARIH2_4	NA	NA	NA	sgEIF3F_3
sgCHRFAM7A_3	sgARL11_2	NA	NA	NA	sgEIF3K_2
sgCHRNA7_2	sgARL14EP_2	NA	NA	NA	sgEIF4G1_3
sgCHRNA7_4	sgARL14EP_4	NA	NA	NA	sgEIF5A_3
sgCISD1_2	sgARL14_3	NA	NA	NA	sgELF3_3
sgCISD1_4	sgARL3_2	NA	NA	NA	sgELL2_3
sgCKMT1A_1	sgARL4A_2	NA	NA	NA	sgEMX2_4
sgCKMT1A_2	sgARL5A_2	NA	NA	NA	sgEPB41L2_4
sgCKMT1A_3	sgARL8B_4	NA	NA	NA	sgEPHA5_3
sgCKMT1A_4	sgARMC10_4	NA	NA	NA	sgERCC2_2
sgCKMT1B_1	sgARMC1_2	NA	NA	NA	sgERCC2_3
sgCKMT1B_2	sgARMCX4_1	NA	NA	NA	sgESYT1_3
sgCKMT1B_3	sgARPC1A_1	NA	NA	NA	sgETNK1_4
sgCKMT1B_4	sgARPC1A_3	NA	NA	NA	sgETNPPL_1
sgCKS1B_3	sgARPC1A_4	NA	NA	NA	sgEVI2A_4
sgCKS1B_4	sgARPC3_1	NA	NA	NA	sgEXOSC10_3
sgCKS2_4	sgARPC3_2	NA	NA	NA	sgFABP4_4
sgCLDN1_2	sgARPC3_3	NA	NA	NA	sgFAM134A_3
sgCLDN22_2	sgARPP19_3	NA	NA	NA	sgFAM134C_4
sgCLDN22_4	sgARSD_4	NA	NA	NA	sgFAM19A3_3
sgCLDN24_2	sgARSF_4	NA	NA	NA	sgFAM19A5_3
sgCLEC18A_1	sgASAH2B_2	NA	NA	NA	sgFAM212A_4
sgCLEC18A_3	sgASB9_4	NA	NA	NA	sgFAM69B_4
sgCLEC18A_4	sgASL_1	NA	NA	NA	sgFANCD2_1
sgCLEC18B_1	sgASL_4	NA	NA	NA	sgFAR2_4
sgCLEC18B_2	sgASNS_3	NA	NA	NA	sgFAU_3
